county_fips,dc_records,dc_count,dc_sqft,dc_mean_lat,dc_mean_lon,dc_types
41065,6,2,7764984.0,45.63526498815046,-121.20185651557382,campus
41067,78,26,11841822.0,45.555854338777486,-122.92326956580091,"building, campus"
42003,6,2,262344.0,40.439369976337915,-80.11631666506999,building
42077,6,2,585729.0,40.5899520942574,-75.55594810959627,building
42091,12,4,622620.0,40.12227202607156,-75.4117069173797,"building, point"
42101,3,1,358977.0,39.95982948339076,-75.1608264696543,building
45003,3,1,10824438.0,33.64227324934805,-81.84262688518264,campus
45015,29,10,22988858.0,33.063532852122044,-80.04141795380474,"building, campus"
45051,3,1,275838.0,33.67459201417233,-78.94382058085894,building
46099,6,2,897264.0,43.60344717267049,-96.80197216597001,building
47037,9,3,885774.0,36.12948290853371,-86.7285403078743,building
47057,3,1,3696.0,36.3280739503655,-83.37670351171651,building
47079,3,1,256473.0,36.32703160027415,-88.32007315002166,campus
47125,14,5,55261224.0,36.625025583867796,-87.26017683858463,"building, campus"
47145,3,1,0.0,35.92951329999998,-84.310567,point
47157,6,2,5215701.0,35.02899227702573,-90.09565217780802,building
47165,11,4,39729476.0,36.409507239432145,-86.3680637152491,"building, campus"
47187,15,5,6793503.0,35.958369557416596,-86.82093709061573,"building, campus, point"
48005,3,1,38961.0,31.194176724608194,-94.7967686749575,building
48029,97,33,14234885.0,29.456774175640433,-98.67077687117272,"building, campus"
48085,38,13,6010267.0,33.08036202067464,-96.69061658252289,"building, campus"
48113,71,25,7323924.0,32.87723207294809,-96.80473358927688,"building, point"
48121,6,2,966672.0,33.00543369357363,-97.24572021239663,building
48139,45,15,10197522.0,32.522628138869756,-96.85018973010779,building
48201,18,6,3595833.0,29.882320690095796,-95.62675585195109,"building, campus"
48221,3,1,5306658.0,32.34161436505109,-97.73108360911897,campus
48325,3,1,686691.0,29.412976996262795,-98.80637444997967,building
48331,3,1,13073979.0,30.57322656784763,-97.08012893983641,campus
48339,6,2,378363.0,30.177941675096264,-95.48626657381486,"building, point"
48349,3,1,35153460.0,31.969664427054436,-96.51332565744129,campus
48439,24,8,8451675.0,32.86897288170517,-97.20271697060154,building
48453,46,16,5624667.0,30.236590500514342,-97.69356774119328,"building, campus"
48475,3,1,6716784.0,31.51355287029395,-103.44859716763871,building
48485,3,1,117381.0,33.95334594735624,-98.52472588718449,building
49035,18,6,1392423.0,40.659495246655894,-111.97408832653173,building
49047,3,1,38913.0,40.45660446778018,-109.52899626422175,building
49049,20,7,52333411.0,40.278031758753364,-111.97356117493507,"building, campus, point"
49053,3,1,5499.0,37.0627992997584,-113.54474864091476,building
51047,3,1,3899808.0,38.45496832510694,-77.97824023958196,campus
51059,79,27,6211035.0,38.91582167511705,-77.3618320129729,"building, point"
51061,9,3,757833.0,38.74095843043054,-77.77551660066301,building
51069,3,1,819594.0,39.017626030867284,-78.29095401292271,campus
51087,20,7,32057029.0,37.50962884621349,-77.26663829744011,"building, campus"
51107,616,213,145525426.0,39.001787700606684,-77.47064453437183,"building, campus, point"
51117,3,1,33821862.0,36.68567641806704,-78.37670328365427,campus
51153,186,63,33738179.0,38.77164069325456,-77.55148556211422,"building, campus, point"
51660,3,1,1517265.0,38.46274364707,-78.8568255780426,campus
51680,3,1,0.0,37.41568800000001,-79.1427063,point
